Index,Type,Strength_MPa,CO2_kg,Cost_$
0,Baseline,79.99,470.74,100.49
0,AgentDesign,71.37,472.62,100.72
1,Baseline,61.89,470.82,100.72
1,AgentDesign,71.37,481.05,102.13
2,Baseline,40.27,296.18,73.34
2,AgentDesign,45.18,297.06,73.42
3,Baseline,41.05,296.18,73.34
3,AgentDesign,48.25,297.81,73.52
4,Baseline,44.30,183.32,62.02
4,AgentDesign,34.16,185.40,62.27
6,Baseline,43.70,334.66,76.67
6,AgentDesign,51.91,337.70,77.03
7,Baseline,36.45,334.66,76.67
7,AgentDesign,32.06,338.96,77.21
9,Baseline,39.29,411.61,83.32
9,AgentDesign,35.45,422.77,84.84
12,Baseline,43.01,373.13,79.99
12,AgentDesign,49.53,369.15,79.59
17,Baseline,56.14,300.46,70.78
17,AgentDesign,33.42,296.21,70.36
18,Baseline,40.56,334.66,76.67
18,AgentDesign,46.85,340.28,77.39
19,Baseline,42.62,411.61,83.32
19,AgentDesign,50.73,414.48,83.67
20,Baseline,41.84,373.13,79.99
20,AgentDesign,49.74,374.18,80.08
23,Baseline,44.21,136.50,59.45
23,AgentDesign,30.18,136.07,59.37
24,Baseline,52.52,331.24,73.44
24,AgentDesign,36.79,336.19,74.08
25,Baseline,53.30,331.24,73.44
25,AgentDesign,35.41,328.25,73.12
26,Baseline,41.15,334.66,76.67
26,AgentDesign,48.95,339.27,77.27
27,Baseline,52.12,300.46,70.78
27,AgentDesign,33.24,301.51,70.87
28,Baseline,37.43,373.13,79.99
28,AgentDesign,32.39,366.22,79.34
30,Baseline,55.26,269.68,68.12
30,AgentDesign,33.64,273.46,68.60
31,Baseline,52.91,238.90,65.46
31,AgentDesign,31.01,239.31,65.47
32,Baseline,41.72,183.32,62.02
32,AgentDesign,32.69,187.93,62.62
33,Baseline,42.13,411.61,83.32
33,AgentDesign,53.06,416.77,83.99
35,Baseline,38.41,219.23,66.69
35,AgentDesign,45.07,223.82,67.28
37,Baseline,37.72,296.18,73.34
37,AgentDesign,43.85,297.51,73.46
38,Baseline,42.23,411.61,83.32
38,AgentDesign,47.45,418.79,84.28
39,Baseline,36.25,219.23,66.69
39,AgentDesign,40.77,222.11,67.05
40,Baseline,50.46,300.46,70.78
40,AgentDesign,30.19,302.05,70.95
41,Baseline,43.70,373.13,79.99
41,AgentDesign,51.01,374.75,80.17
42,Baseline,39.00,219.23,66.69
42,AgentDesign,46.72,219.98,66.73
43,Baseline,53.10,331.24,73.44
43,AgentDesign,34.33,324.35,72.78
44,Baseline,41.54,373.13,79.99
44,AgentDesign,45.52,376.81,80.46
47,Baseline,40.76,334.66,76.67
47,AgentDesign,49.21,341.15,77.53
50,Baseline,39.78,296.18,73.34
50,AgentDesign,46.53,300.90,73.95
52,Baseline,33.12,219.23,66.69
52,AgentDesign,36.97,223.22,67.21
56,Baseline,41.93,411.61,83.32
56,AgentDesign,55.01,417.28,84.06
58,Baseline,50.95,269.68,68.12
58,AgentDesign,32.61,270.63,68.19
60,Baseline,54.38,269.68,68.12
60,AgentDesign,33.92,270.26,68.14
61,Baseline,51.73,238.90,65.46
61,AgentDesign,33.06,240.43,65.61
64,Baseline,48.70,238.90,65.46
64,AgentDesign,31.32,242.34,65.89
65,Baseline,55.06,300.46,70.78
65,AgentDesign,34.54,303.98,71.22
66,Baseline,44.70,136.50,59.45
66,AgentDesign,33.81,135.98,59.36
69,Baseline,71.99,422.00,91.29
69,AgentDesign,71.37,428.53,92.18
95,Baseline,49.20,394.15,128.40
95,AgentDesign,36.00,399.43,129.11
96,Baseline,46.80,396.67,133.23
96,AgentDesign,36.55,399.28,133.56
97,Baseline,45.70,359.93,141.08
97,AgentDesign,36.53,361.22,141.23
98,Baseline,55.60,427.53,113.96
98,AgentDesign,34.40,434.48,114.90
99,Baseline,54.90,450.58,172.51
99,AgentDesign,36.52,450.86,172.51
100,Baseline,49.20,394.15,128.40
100,AgentDesign,36.59,399.80,129.15
102,Baseline,46.90,494.32,165.20
102,AgentDesign,43.06,498.26,165.72
103,Baseline,49.20,394.15,128.40
103,AgentDesign,34.95,393.80,128.33
105,Baseline,54.10,368.14,112.99
