cement,slag,fly_ash,water,superplasticizer,coarse_agg,fine_agg,age,strength,source,temperature,humidity
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,1.0,13.35,D3,23.5,0.44
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,2.0,23.2,D3,20.9,0.41
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,7.0,32.07,D3,22.1,0.36
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,39.72,D3,21.8,0.56
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,46.64,D3,24.1,0.43
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,1.0,43.55,D3,19.4,0.51
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,54.8,D3,17.4,0.41
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,58.23,D3,21.6,0.53
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,54.31,D3,22.9,0.41
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,37.6,D3,22.3,0.39
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,60.39,D3,24.5,0.44
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,58.23,D3,22.9,0.42
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,65.2,D3,20.9,0.48
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,53.88,D3,17.3,0.45
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,1.0,43.38,D3,21.5,0.48
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,7.0,51.36,D3,24.1,0.44
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,57.74,D3,21.2,0.42
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,54.31,D3,22.1,0.42
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,7.0,23.52,D3,22.8,0.55
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,52.09,D3,20.0,0.46
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,54.7,D3,23.2,0.35
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,30.0,53.72,D3,25.3,0.42
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,48.43,D3,21.7,0.45
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,50.47,D3,19.7,0.54
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,44.2,D3,21.9,0.5
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,50.87,D3,17.6,0.4
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,39.72,D3,22.7,0.57
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,42.9,D3,22.9,0.45
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,42.9,D3,25.4,0.51
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,31.09,D3,21.6,0.39
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,41.67,D3,22.8,0.33
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,41.02,D3,20.3,0.38
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,42.9,D3,21.3,0.29
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,41.67,D3,18.9,0.56
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,38.74,D3,21.6,0.46
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,7.0,44.52,D3,21.4,0.4
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,49.9,D3,22.6,0.47
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,44.85,D3,20.8,0.46
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,44.2,D3,22.2,0.48
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,49.24,D3,21.3,0.51
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,42.9,D3,21.3,0.44
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,49.16,D3,22.2,0.41
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,52.74,D3,22.1,0.49
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,35.57,D3,23.5,0.49
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,1.0,17.5,D3,21.8,0.46
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,4.0,36.55,D3,21.3,0.56
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,7.0,37.85,D3,21.6,0.43
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,44.85,D3,20.6,0.41
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,46.07,D3,21.3,0.47
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,48.35,D3,26.1,0.42
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,59.8,D3,20.2,0.47
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,42.0,D3,21.4,0.41
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,47.05,D3,21.2,0.43
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,7.0,36.87,D3,21.5,0.54
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,45.74,D3,21.3,0.43
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,35.0,D3,22.6,0.41
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,42.9,D3,18.6,0.51
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,52.17,D3,24.1,0.4
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,36.87,D3,23.3,0.42
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,41.67,D3,19.5,0.48
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,48.35,D3,17.5,0.5
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,46.07,D3,20.0,0.51
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,46.72,D3,21.5,0.41
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,2.0,20.67,D3,27.2,0.48
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,44.2,D3,23.1,0.43
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,2.0,29.22,D3,18.4,0.42
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,9.0,39.07,D3,20.6,0.51
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,30.0,41.02,D3,21.9,0.42
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,35.73,D3,22.5,0.46
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,46.07,D3,19.4,0.46
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,33.7,D3,21.7,0.4
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,28.81,D3,20.6,0.5
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,41.35,D3,19.8,0.48
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,7.0,29.55,D3,22.5,0.35
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,37.2,D3,23.5,0.46
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,38.17,D3,23.7,0.41
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,41.35,D3,23.1,0.5
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,47.7,D3,21.0,0.38
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,7.0,25.15,D3,23.4,0.43
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,33.7,D3,22.6,0.47
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,46.72,D3,22.3,0.45
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,45.42,D3,20.8,0.49
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,27.02,D3,21.0,0.37
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,24.5,D3,22.1,0.53
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,34.02,D3,26.9,0.48
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,27.02,D3,22.6,0.52
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,36.55,D3,20.8,0.49
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,17.17,D3,20.3,0.45
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,23.12,D3,21.0,0.39
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,17.17,D3,26.4,0.42
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,33.37,D3,21.2,0.53
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,18.72,D3,23.8,0.52
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,10.74,D3,21.2,0.42
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,11.15,D3,22.5,0.31
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,12.78,D3,23.6,0.44
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,8.87,D3,20.9,0.44
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,24.17,D3,20.7,0.44
428.5714285714286,0.0,0.0,180.0,0.0,1044.857142857143,696.5714285714286,28.0,24.18,D3,25.3,0.48
428.5714285714286,0.0,0.0,180.0,0.0,1044.857142857143,696.5714285714286,28.0,22.88,D3,24.0,0.49
428.5714285714286,0.0,0.0,180.0,0.0,1044.857142857143,696.5714285714286,28.0,23.75,D3,23.6,0.5
400.0,0.0,0.0,180.0,0.0,1062.0,708.0,28.0,22.66,D3,23.6,0.47
400.0,0.0,0.0,180.0,0.0,1062.0,708.0,28.0,24.18,D3,22.9,0.36
400.0,0.0,0.0,180.0,0.0,1062.0,708.0,28.0,24.62,D3,26.0,0.43
400.0,0.0,0.0,180.0,0.0,1062.0,708.0,28.0,25.49,D3,22.1,0.57
400.0,0.0,0.0,180.0,0.0,1062.0,708.0,28.0,25.49,D3,23.2,0.47
400.0,0.0,0.0,180.0,0.0,1062.0,708.0,28.0,26.36,D3,19.1,0.47
400.0,0.0,0.0,180.0,0.0,1062.0,708.0,28.0,24.4,D3,20.4,0.47
400.0,0.0,0.0,180.0,0.0,1062.0,708.0,28.0,25.06,D3,19.6,0.47
400.0,0.0,0.0,180.0,0.0,1062.0,708.0,28.0,26.58,D3,24.5,0.33
400.0,0.0,0.0,180.0,0.0,1062.0,708.0,28.0,24.84,D3,16.9,0.44
400.0,0.0,0.0,180.0,0.0,1062.0,708.0,28.0,24.4,D3,21.2,0.45
400.0,0.0,0.0,180.0,0.0,1062.0,708.0,28.0,23.97,D3,16.0,0.51
400.0,0.0,0.0,180.0,0.0,1062.0,708.0,28.0,27.23,D3,20.3,0.45
400.0,0.0,0.0,180.0,0.0,1062.0,708.0,28.0,28.76,D3,21.0,0.37
400.0,0.0,0.0,180.0,0.0,1062.0,708.0,28.0,27.02,D3,24.8,0.47
400.0,0.0,0.0,180.0,0.0,1062.0,708.0,28.0,24.84,D3,22.8,0.41
400.0,0.0,0.0,180.0,0.0,1062.0,708.0,28.0,26.58,D3,20.3,0.39
400.0,0.0,0.0,180.0,0.0,1062.0,708.0,28.0,26.15,D3,24.1,0.41
400.0,0.0,0.0,180.0,0.0,1062.0,708.0,28.0,27.45,D3,22.0,0.48
400.0,0.0,0.0,180.0,0.0,1062.0,708.0,28.0,27.89,D3,22.1,0.51
400.0,0.0,0.0,180.0,0.0,1062.0,708.0,28.0,29.2,D3,19.6,0.47
400.0,0.0,0.0,180.0,0.0,1062.0,708.0,28.0,26.15,D3,20.0,0.48
400.0,0.0,0.0,180.0,0.0,1062.0,708.0,28.0,28.11,D3,20.3,0.47
400.0,0.0,0.0,180.0,0.0,1062.0,708.0,28.0,26.58,D3,22.1,0.46
400.0,0.0,0.0,180.0,0.0,1062.0,708.0,28.0,27.02,D3,22.2,0.48
400.0,0.0,0.0,180.0,0.0,1062.0,708.0,28.0,26.36,D3,25.1,0.33
400.0,0.0,0.0,180.0,0.0,1062.0,708.0,28.0,25.71,D3,22.8,0.46
400.0,0.0,0.0,180.0,0.0,1062.0,708.0,28.0,23.75,D3,16.6,0.4
400.0,0.0,0.0,180.0,0.0,1062.0,708.0,28.0,25.06,D3,22.5,0.51
400.0,0.0,0.0,180.0,0.0,1062.0,708.0,28.0,27.89,D3,19.1,0.44
400.0,0.0,0.0,180.0,0.0,1062.0,708.0,28.0,23.75,D3,20.1,0.45
400.0,0.0,0.0,180.0,0.0,1062.0,708.0,28.0,25.93,D3,20.4,0.37
400.0,0.0,0.0,180.0,0.0,1062.0,708.0,28.0,24.62,D3,20.7,0.5
400.0,0.0,0.0,180.0,0.0,1062.0,708.0,28.0,26.58,D3,19.2,0.48
400.0,0.0,0.0,180.0,0.0,1062.0,708.0,28.0,25.93,D3,22.4,0.48
400.0,0.0,0.0,180.0,0.0,1062.0,708.0,28.0,24.62,D3,19.2,0.41
382.97872340425533,0.0,0.0,180.0,0.0,1072.212765957447,714.8085106382979,28.0,20.48,D3,22.7,0.41
382.97872340425533,0.0,0.0,180.0,0.0,1072.212765957447,714.8085106382979,28.0,20.92,D3,26.5,0.46
382.97872340425533,0.0,0.0,180.0,0.0,1072.212765957447,714.8085106382979,28.0,19.61,D3,19.3,0.42
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,17.65,D3,21.4,0.47
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,16.78,D3,17.0,0.34
360.0,0.0,0.0,180.0,0.0,1086.0,724.0,28.0,15.69,D3,21.4,0.43
461.53846153846155,0.0,0.0,180.0,0.0,1025.076923076923,683.3846153846155,28.0,25.71,D3,23.3,0.54
461.53846153846155,0.0,0.0,180.0,0.0,1025.076923076923,683.3846153846155,28.0,28.76,D3,23.4,0.47
461.53846153846155,0.0,0.0,180.0,0.0,1025.076923076923,683.3846153846155,28.0,27.89,D3,22.2,0.46
486.4864864864865,0.0,0.0,180.0,0.0,1010.108108108108,673.4054054054054,28.0,26.8,D3,23.8,0.55
486.4864864864865,0.0,0.0,180.0,0.0,1010.108108108108,673.4054054054054,28.0,30.94,D3,27.1,0.33
486.4864864864865,0.0,0.0,180.0,0.0,1010.108108108108,673.4054054054054,28.0,29.85,D3,25.4,0.41
339.62264150943395,0.0,0.0,180.0,0.0,1098.2264150943397,732.1509433962265,28.0,18.3,D3,21.0,0.43
339.62264150943395,0.0,0.0,180.0,0.0,1098.2264150943397,732.1509433962265,28.0,16.56,D3,19.1,0.49
339.62264150943395,0.0,0.0,180.0,0.0,1098.2264150943397,732.1509433962265,28.0,18.52,D3,21.2,0.49
339.62264150943395,0.0,0.0,180.0,0.0,1098.2264150943397,732.1509433962265,28.0,16.56,D3,20.1,0.41
339.62264150943395,0.0,0.0,180.0,0.0,1098.2264150943397,732.1509433962265,28.0,18.52,D3,22.9,0.5
339.62264150943395,0.0,0.0,180.0,0.0,1098.2264150943397,732.1509433962265,28.0,17.43,D3,19.6,0.43
339.62264150943395,0.0,0.0,180.0,0.0,1098.2264150943397,732.1509433962265,28.0,18.3,D3,21.9,0.51
339.62264150943395,0.0,0.0,180.0,0.0,1098.2264150943397,732.1509433962265,28.0,16.78,D3,23.7,0.4
339.62264150943395,0.0,0.0,180.0,0.0,1098.2264150943397,732.1509433962265,28.0,16.56,D3,21.8,0.44
339.62264150943395,0.0,0.0,180.0,0.0,1098.2264150943397,732.1509433962265,28.0,16.12,D3,20.1,0.43
339.62264150943395,0.0,0.0,180.0,0.0,1098.2264150943397,732.1509433962265,28.0,17.65,D3,24.3,0.5
339.62264150943395,0.0,0.0,180.0,0.0,1098.2264150943397,732.1509433962265,28.0,17.43,D3,18.2,0.42
500.0,0.0,0.0,180.0,0.0,1002.0,668.0,3.0,37.85,D3,21.3,0.45
500.0,0.0,0.0,180.0,0.0,1002.0,668.0,7.0,42.83,D3,21.9,0.48
500.0,0.0,0.0,180.0,0.0,1002.0,668.0,28.0,56.1,D3,22.0,0.48
500.0,0.0,0.0,180.0,0.0,1002.0,668.0,90.0,65.9,D3,22.4,0.49
500.0,0.0,0.0,180.0,0.0,1002.0,668.0,180.0,70.2,D3,23.2,0.46
500.0,0.0,0.0,180.0,0.0,1002.0,668.0,365.0,77.4,D3,21.9,0.43
750.0,0.0,0.0,180.0,0.0,852.0,568.0,3.0,52.95,D3,21.3,0.43
750.0,0.0,0.0,180.0,0.0,852.0,568.0,7.0,62.6,D3,21.2,0.45
750.0,0.0,0.0,180.0,0.0,852.0,568.0,28.0,72.6,D3,20.8,0.46
750.0,0.0,0.0,180.0,0.0,852.0,568.0,90.0,75.9,D3,23.6,0.44
750.0,0.0,0.0,180.0,0.0,852.0,568.0,180.0,83.4,D3,20.7,0.45
750.0,0.0,0.0,180.0,0.0,852.0,568.0,365.0,94.1,D3,23.7,0.37
720.0,0.0,0.0,180.0,0.0,870.0,580.0,3.0,63.7,D3,22.0,0.48
720.0,0.0,0.0,180.0,0.0,870.0,580.0,7.0,77.3,D3,21.0,0.46
720.0,0.0,0.0,180.0,0.0,870.0,580.0,28.0,95.1,D3,23.2,0.5
720.0,0.0,0.0,180.0,0.0,870.0,580.0,90.0,99.8,D3,20.5,0.45
720.0,0.0,0.0,180.0,0.0,870.0,580.0,180.0,105.1,D3,23.3,0.36
720.0,0.0,0.0,180.0,0.0,870.0,580.0,365.0,109.2,D3,22.4,0.43
