NoiseLevel,Dataset,N,XGBoost_MAE,Physics_MAE,Hybrid_MAE,Agent_MAE,XGBoost_Adm%,Physics_Adm%,Hybrid_Adm%,Agent_Adm%
0.0,UCI-D1,1030,4.88,7.74,3.22,7.73,100.0,100.0,100.0,100.0
0.0,UCI-D2,4891,8.11,8.46,7.76,8.47,100.0,100.0,100.0,100.0
0.0,UCI-D3,2780,7.99,9.26,7.87,9.29,100.0,100.0,100.0,100.0
0.0,UCI-D4,7445,15.49,17.33,15.51,17.36,100.0,100.0,100.0,100.0
0.0,UHPC,500,20.83,97.18,21.07,97.15,32.4,100.0,100.0,100.0
0.0,SELFHEAL,500,4.43,5.23,3.88,5.27,100.0,100.0,100.0,100.0
0.0,LUNAR,500,2.47,17.60,2.21,17.60,98.6,100.0,100.0,100.0
0.0,HIGHSCM,500,5.84,9.68,6.86,9.67,100.0,100.0,100.0,100.0
10.0,UCI-D1,1030,5.11,7.74,3.43,7.74,100.0,100.0,100.0,100.0
10.0,UCI-D2,4891,8.16,8.46,7.80,8.47,100.0,100.0,100.0,100.0
10.0,UCI-D3,2780,8.08,9.27,7.95,9.27,100.0,100.0,100.0,100.0
10.0,UCI-D4,7445,15.75,17.34,16.25,17.36,100.0,100.0,100.0,100.0
10.0,UHPC,500,20.76,97.18,20.97,97.16,32.4,100.0,100.0,100.0
10.0,SELFHEAL,500,4.44,5.23,3.91,5.23,100.0,100.0,100.0,100.0
10.0,LUNAR,500,2.48,17.60,2.21,17.60,98.8,100.0,100.0,100.0
10.0,HIGHSCM,500,5.91,9.66,6.92,9.67,100.0,100.0,100.0,100.0
20.0,UCI-D1,1030,5.26,7.75,3.59,7.80,100.0,100.0,100.0,100.0
20.0,UCI-D2,4891,8.21,8.46,7.86,8.48,100.0,100.0,100.0,100.0
20.0,UCI-D3,2780,8.17,9.29,8.06,9.29,100.0,100.0,100.0,100.0
20.0,UCI-D4,7445,16.21,17.34,16.78,17.35,100.0,100.0,100.0,100.0
20.0,UHPC,500,20.60,97.18,20.82,97.15,32.6,100.0,100.0,100.0
20.0,SELFHEAL,500,4.53,5.24,3.99,5.25,100.0,100.0,100.0,100.0
20.0,LUNAR,500,2.46,17.60,2.20,17.60,99.0,100.0,100.0,100.0
20.0,HIGHSCM,500,5.89,9.65,6.90,9.66,100.0,100.0,100.0,100.0
