epoch,step,entropy_coef,epsilon,avg_reward,reward_variance,gate_reject_rate,attn_coherence
0,1030,0.0000,0.000,-7.7369,0.0000,0.00,0.000
1,2060,0.0000,0.000,-7.7369,0.0000,0.00,0.000
2,3090,0.0000,0.000,-7.7369,0.0000,0.00,0.000
3,4120,0.0000,0.000,-7.7369,0.0000,0.00,0.000
4,5150,0.0000,0.000,-7.7369,0.0000,0.00,0.000
5,6180,0.0000,0.000,-7.7369,0.0000,0.00,0.000
6,7210,0.0000,0.000,-7.7369,0.0000,0.00,0.000
7,8240,0.0000,0.000,-7.7369,0.0000,0.00,0.000
8,9270,0.0000,0.000,-7.7369,0.0000,0.00,0.000
9,10300,0.0000,0.000,-7.7369,0.0000,0.00,0.000
10,11330,0.0000,0.000,-7.7369,0.0000,0.00,0.000
11,12360,0.0000,0.000,-7.7369,0.0000,0.00,0.000
12,13390,0.0000,0.000,-7.7369,0.0000,0.00,0.000
13,14420,0.0000,0.000,-7.7369,0.0000,0.00,0.000
14,15450,0.0000,0.000,-7.7369,0.0000,0.00,0.000
15,16480,0.0000,0.000,-7.7369,0.0000,0.00,0.000
16,17510,0.0000,0.000,-7.7369,0.0000,0.00,0.000
17,18540,0.0000,0.000,-7.7369,0.0000,0.00,0.000
18,19570,0.0000,0.000,-7.7369,0.0000,0.00,0.000
19,20600,0.0000,0.000,-7.7369,0.0000,0.00,0.000
20,21630,0.0000,0.000,-7.7369,0.0000,0.00,0.000
21,22660,0.0000,0.000,-7.7369,0.0000,0.00,0.000
22,23690,0.0000,0.000,-7.7369,0.0000,0.00,0.000
23,24720,0.0000,0.000,-7.7369,0.0000,0.00,0.000
24,25750,0.0000,0.000,-7.7369,0.0000,0.00,0.000
25,26780,0.0000,0.000,-7.7369,0.0000,0.00,0.000
26,27810,0.0000,0.000,-7.7369,0.0000,0.00,0.000
27,28840,0.0000,0.000,-7.7369,0.0000,0.00,0.000
28,29870,0.0000,0.000,-7.7369,0.0000,0.00,0.000
29,30900,0.0000,0.000,-7.7369,0.0000,0.00,0.000
30,31930,0.0000,0.000,-7.7369,0.0000,0.00,0.000
31,32960,0.0000,0.000,-7.7369,0.0000,0.00,0.000
32,33990,0.0000,0.000,-7.7369,0.0000,0.00,0.000
33,35020,0.0000,0.000,-7.7369,0.0000,0.00,0.000
34,36050,0.0000,0.000,-7.7369,0.0000,0.00,0.000
35,37080,0.0000,0.000,-7.7369,0.0000,0.00,0.000
36,38110,0.0000,0.000,-7.7369,0.0000,0.00,0.000
37,39140,0.0000,0.000,-7.7369,0.0000,0.00,0.000
38,40170,0.0000,0.000,-7.7369,0.0000,0.00,0.000
39,41200,0.0000,0.000,-7.7369,0.0000,0.00,0.000
40,42230,0.0000,0.000,-7.7369,0.0000,0.00,0.000
41,43260,0.0000,0.000,-7.7369,0.0000,0.00,0.000
42,44290,0.0000,0.000,-7.7369,0.0000,0.00,0.000
43,45320,0.0000,0.000,-7.7369,0.0000,0.00,0.000
44,46350,0.0000,0.000,-7.7369,0.0000,0.00,0.000
45,47380,0.0000,0.000,-7.7369,0.0000,0.00,0.000
46,48410,0.0000,0.000,-7.7369,0.0000,0.00,0.000
47,49440,0.0000,0.000,-7.7369,0.0000,0.00,0.000
48,50470,0.0000,0.000,-7.7369,0.0000,0.00,0.000
49,51500,0.0000,0.000,-7.7369,0.0000,0.00,0.000
50,52530,0.0000,0.000,-7.7369,0.0000,0.00,0.000
