Index,Type,Strength_MPa,CO2_kg,Cost_$
0,Baseline,79.99,470.74,100.49
0,AgentDesign,71.37,473.57,100.85
1,Baseline,61.89,470.82,100.72
1,AgentDesign,71.36,469.12,100.53
2,Baseline,40.27,296.18,73.34
2,AgentDesign,50.14,295.29,73.19
3,Baseline,41.05,296.18,73.34
3,AgentDesign,48.63,297.79,73.51
4,Baseline,44.30,183.32,62.02
4,AgentDesign,33.27,183.34,61.98
6,Baseline,43.70,334.66,76.67
6,AgentDesign,50.48,339.74,77.33
7,Baseline,36.45,334.66,76.67
7,AgentDesign,31.35,337.13,76.96
9,Baseline,39.29,411.61,83.32
9,AgentDesign,37.67,414.84,83.70
12,Baseline,43.01,373.13,79.99
12,AgentDesign,52.15,372.56,79.88
15,Baseline,52.91,331.24,73.44
15,AgentDesign,33.21,330.98,73.35
17,Baseline,56.14,300.46,70.78
17,AgentDesign,36.43,301.65,70.88
18,Baseline,40.56,334.66,76.67
18,AgentDesign,46.09,332.33,76.40
19,Baseline,42.62,411.61,83.32
19,AgentDesign,53.02,409.78,83.09
20,Baseline,41.84,373.13,79.99
20,AgentDesign,50.24,377.36,80.53
23,Baseline,44.21,136.50,59.45
23,AgentDesign,30.72,137.20,59.51
24,Baseline,52.52,331.24,73.44
24,AgentDesign,36.09,331.34,73.39
25,Baseline,53.30,331.24,73.44
25,AgentDesign,36.74,335.11,73.92
26,Baseline,41.15,334.66,76.67
26,AgentDesign,49.06,333.45,76.50
27,Baseline,52.12,300.46,70.78
27,AgentDesign,34.92,308.03,71.79
28,Baseline,37.43,373.13,79.99
28,AgentDesign,34.68,373.38,79.96
30,Baseline,55.26,269.68,68.12
30,AgentDesign,35.14,273.20,68.55
31,Baseline,52.91,238.90,65.46
31,AgentDesign,35.48,241.90,65.81
32,Baseline,41.72,183.32,62.02
32,AgentDesign,32.77,182.15,61.86
33,Baseline,42.13,411.61,83.32
33,AgentDesign,54.46,417.04,84.02
34,Baseline,53.69,177.34,60.14
34,AgentDesign,30.76,177.89,60.15
35,Baseline,38.41,219.23,66.69
35,AgentDesign,44.16,221.99,67.03
37,Baseline,37.72,296.18,73.34
37,AgentDesign,41.65,295.53,73.23
38,Baseline,42.23,411.61,83.32
38,AgentDesign,48.00,411.19,83.22
39,Baseline,36.25,219.23,66.69
39,AgentDesign,43.85,221.88,67.01
40,Baseline,50.46,300.46,70.78
40,AgentDesign,32.90,303.57,71.15
41,Baseline,43.70,373.13,79.99
41,AgentDesign,51.51,380.05,80.92
42,Baseline,39.00,219.23,66.69
42,AgentDesign,46.94,224.09,67.32
43,Baseline,53.10,331.24,73.44
43,AgentDesign,37.50,337.77,74.29
44,Baseline,41.54,373.13,79.99
44,AgentDesign,47.55,373.62,80.00
47,Baseline,40.76,334.66,76.67
47,AgentDesign,49.04,335.63,76.74
50,Baseline,39.78,296.18,73.34
50,AgentDesign,49.96,303.17,74.26
52,Baseline,33.12,219.23,66.69
52,AgentDesign,37.04,223.38,67.23
56,Baseline,41.93,411.61,83.32
56,AgentDesign,53.72,410.79,83.18
58,Baseline,50.95,269.68,68.12
58,AgentDesign,33.15,268.10,67.91
60,Baseline,54.38,269.68,68.12
60,AgentDesign,33.27,269.41,68.03
61,Baseline,51.73,238.90,65.46
61,AgentDesign,32.96,240.21,65.58
63,Baseline,50.66,177.34,60.14
63,AgentDesign,31.22,178.84,60.28
64,Baseline,48.70,238.90,65.46
64,AgentDesign,31.29,236.93,65.22
65,Baseline,55.06,300.46,70.78
65,AgentDesign,34.19,303.64,71.17
66,Baseline,44.70,136.50,59.45
66,AgentDesign,35.06,138.08,59.62
69,Baseline,71.99,422.00,91.29
69,AgentDesign,71.34,417.40,90.85
93,Baseline,46.20,346.17,108.96
93,AgentDesign,31.08,343.45,108.67
95,Baseline,49.20,394.15,128.40
95,AgentDesign,36.44,393.13,128.26
96,Baseline,46.80,396.67,133.23
96,AgentDesign,36.38,394.90,133.03
97,Baseline,45.70,359.93,141.08
97,AgentDesign,36.62,366.73,142.00
98,Baseline,55.60,427.53,113.96
98,AgentDesign,36.60,437.33,115.29
99,Baseline,54.90,450.58,172.51
99,AgentDesign,36.36,448.23,172.27
100,Baseline,49.20,394.15,128.40
100,AgentDesign,36.58,398.50,128.97
101,Baseline,34.90,357.76,113.35
101,AgentDesign,31.85,357.06,113.24
102,Baseline,46.90,494.32,165.20
102,AgentDesign,43.06,497.14,165.56
103,Baseline,49.20,394.15,128.40
103,AgentDesign,36.45,393.29,128.27
104,Baseline,33.40,305.46,115.33
104,AgentDesign,30.20,308.39,115.71
105,Baseline,54.10,368.14,112.99
105,AgentDesign,36.40,369.13,113.09
106,Baseline,55.90,338.36,111.58
106,AgentDesign,30.64,338.48,111.55
108,Baseline,47.10,356.55,122.27
108,AgentDesign,33.80,356.11,122.19
109,Baseline,55.90,338.36,111.58
109,AgentDesign,32.17,343.90,112.31
111,Baseline,55.90,338.36,111.58
111,AgentDesign,30.38,341.87,112.03
112,Baseline,56.10,401.70,117.08
112,AgentDesign,32.71,397.75,116.68
113,Baseline,59.09,374.02,140.82
113,AgentDesign,32.61,376.99,141.19
116,Baseline,61.09,346.17,108.96
116,AgentDesign,62.92,347.15,109.05
