layer,metric,value,unit,theorem,pass
L0_Energy,cpu_uj_constrained,35437.981875,µJ,,true
L0_Energy,cpu_uj_unconstrained,97775.616873,µJ,,true
L0_Energy,gpu_uj_constrained_bg,0.000000,µJ,gap⚠,false
L0_Energy,gpu_uj_unconstrained_bg,0.000000,µJ,gap⚠,false
L0_Energy,delta_uj,62337.634998,µJ,T7,true
L0_Energy,delta_pct,63.755808,%,T7,true
L0_Energy,p_welch,0.000000,,T7,true
L0_Landauer,slope_mw_per_op,0.000000,mW/op,T8,false
L0_Landauer,m_bit_pred_kg,0.000000,kg,T8,false
L0_Landauer,m_bit_ratio,0.000000,,T8,false
L1_Energy,CPU-scalar_wall_s,0.021919,s,T-L1,true
L1_Energy,CPU-parallel_wall_s,0.005698,s,T-L1,true
L1_Energy,Long-horizon_wall_s,0.877002,s,T-L1,true
L2_Epistemic,epi_steps,8.000000,steps,T1,false
L2_Epistemic,rand_avg,8.000000,steps,T1,false
L2_Epistemic,advantage_pct,0.000000,%,T1,false
L2_Epistemic,entropy_k1,0.750000,,T1,false
L2_Epistemic,entropy_k2,0.797500,,T1,false
L2_Epistemic,entropy_k3,0.823600,,T1,false
L2_Epistemic,entropy_k4,0.863100,,T1,false
L2_Epistemic,entropy_k5,0.892416,,T1,false
L2_Epistemic,entropy_k6,0.911989,,T1,false
L2_Epistemic,entropy_k7,0.928635,,T1,false
L2_Epistemic,entropy_k8,0.941798,,T1,false
L3_Creativity,mix_diversity,0.000000,,TC,false
L3_Creativity,objective_coverage,-inf,,TC,false
L3_Creativity,scm_regimes,0.000000,count,TC,false
L3_Creativity,pareto_yield,0.000000,count,TC,false
L3_Creativity,co2_per_mpa,0.000000,kg/MPa,TC,false
L4_Robustness,xgb_mae_delta_5pct,8.000000,%,TR,true
L4_Robustness,gnn_mae_delta_5pct,0.400000,%,TR,true
L4_Robustness,xgb_mae_delta_10pct,18.000000,%,TR,true
L4_Robustness,gnn_mae_delta_10pct,1.000000,%,TR,true
L4_Robustness,xgb_mae_delta_20pct,42.000000,%,TR,true
L4_Robustness,gnn_mae_delta_20pct,1.800000,%,TR,true
