method,step_k,avg_r_squared,avg_entropy
epistemic,1,0.236323,0.763677
epistemic,2,0.340812,0.659188
epistemic,3,0.472644,0.527356
epistemic,4,0.488262,0.511738
epistemic,5,0.520857,0.479143
epistemic,6,0.558341,0.441659
epistemic,7,0.584701,0.415299
epistemic,8,0.602092,0.397908
unconstrained_ppo,1,0.236323,0.763677
unconstrained_ppo,2,0.316803,0.683197
unconstrained_ppo,3,0.390976,0.609024
unconstrained_ppo,4,0.431330,0.568670
unconstrained_ppo,5,0.435068,0.564932
unconstrained_ppo,6,0.434781,0.565219
unconstrained_ppo,7,0.433321,0.566679
unconstrained_ppo,8,0.602092,0.397908
random,1,0.069339,0.930661
random,2,0.155459,0.844541
random,3,0.248818,0.751182
random,4,0.349242,0.650758
random,5,0.429351,0.570649
random,6,0.508335,0.491665
random,7,0.565132,0.434868
random,8,0.602092,0.397908
round_robin,1,0.075982,0.924018
round_robin,2,0.151493,0.848507
round_robin,3,0.242568,0.757432
round_robin,4,0.341603,0.658397
round_robin,5,0.437539,0.562461
round_robin,6,0.528969,0.471031
round_robin,7,0.564236,0.435764
round_robin,8,0.602092,0.397908
