trial_id,method,step,r_squared,entropy,violations,tq
0,epistemic,0,0.234280,0.765720,0,1.0000
0,epistemic,1,0.247655,0.752345,0,1.0000
0,epistemic,2,0.428989,0.571011,0,1.0000
0,epistemic,3,0.496741,0.503259,0,1.0000
0,epistemic,4,0.611854,0.388146,0,1.0000
0,epistemic,5,0.612060,0.387940,0,1.0000
0,epistemic,6,0.619729,0.380271,0,1.0000
0,epistemic,7,0.620937,0.379063,0,0.4865
1,epistemic,0,0.215392,0.784608,0,1.0000
1,epistemic,1,0.254727,0.745273,0,1.0000
1,epistemic,2,0.425934,0.574066,0,1.0000
1,epistemic,3,0.485890,0.514110,0,1.0000
1,epistemic,4,0.604380,0.395620,0,1.0000
1,epistemic,5,0.604601,0.395399,0,1.0000
1,epistemic,6,0.612493,0.387507,0,1.0000
1,epistemic,7,0.615264,0.384736,0,0.4865
2,epistemic,0,0.243987,0.756013,0,1.0000
2,epistemic,1,0.329044,0.670956,0,1.0000
2,epistemic,2,0.443736,0.556264,0,1.0000
2,epistemic,3,0.510628,0.489372,0,1.0000
2,epistemic,4,0.540051,0.459949,0,1.0000
2,epistemic,5,0.540171,0.459829,0,1.0000
2,epistemic,6,0.571171,0.428829,0,1.0000
2,epistemic,7,0.574176,0.425824,0,0.4865
3,epistemic,0,0.204088,0.795912,0,1.0000
3,epistemic,1,0.265245,0.734755,0,1.0000
3,epistemic,2,0.406068,0.593932,0,1.0000
3,epistemic,3,0.466881,0.533119,0,1.0000
3,epistemic,4,0.566365,0.433635,0,1.0000
3,epistemic,5,0.565357,0.434643,0,1.0000
3,epistemic,6,0.581688,0.418312,0,1.0000
3,epistemic,7,0.583150,0.416850,0,0.4865
4,epistemic,0,0.277602,0.722398,0,1.0000
4,epistemic,1,0.294533,0.705467,0,1.0000
4,epistemic,2,0.473121,0.526879,0,1.0000
4,epistemic,3,0.517385,0.482615,0,1.0000
4,epistemic,4,0.633433,0.366567,0,1.0000
4,epistemic,5,0.633572,0.366428,0,1.0000
4,epistemic,6,0.669303,0.330697,0,1.0000
4,epistemic,7,0.668467,0.331533,0,0.4865
5,epistemic,0,0.223976,0.776024,0,1.0000
5,epistemic,1,0.284125,0.715875,0,1.0000
5,epistemic,2,0.420687,0.579313,0,1.0000
5,epistemic,3,0.435983,0.564017,0,1.0000
5,epistemic,4,0.535724,0.464276,0,1.0000
5,epistemic,5,0.535509,0.464491,0,1.0000
5,epistemic,6,0.577989,0.422011,0,1.0000
5,epistemic,7,0.579001,0.420999,0,0.4865
6,epistemic,0,0.217512,0.782488,0,1.0000
6,epistemic,1,0.306379,0.693621,0,1.0000
6,epistemic,2,0.428379,0.571621,0,1.0000
6,epistemic,3,0.469358,0.530642,0,1.0000
6,epistemic,4,0.555913,0.444087,0,1.0000
6,epistemic,5,0.551380,0.448620,0,1.0000
6,epistemic,6,0.608962,0.391038,0,1.0000
